Section_Number,FIR_Complaint,Offense,Punishment,Cognizable,Bailable,Court
Section 140-71,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman. Respected Sir/Madam, I, Radha Mukherjee, wish to lodge a formal complaint regarding wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman that occurred on 01-04-2023, during the afternoon, at the coaching center near Post Office. my business associate Suman Kumar, with a tattoo on the arm  carried out wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman. I have transaction records, audio recordings and call records as evidence. I urge the authorities to register an FIR and take necessary action.","Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman (variation 3)",3 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 127-49,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding receiving property taken by war or depredation mentioned in sections 125 and 126. Respected Sir/Madam, I, Amit Pillai, wish to lodge a formal complaint regarding receiving property taken by war or depredation mentioned in sections 125 and 126 that occurred on 10-02-2024, in the afternoon, at the shared cab near General Hospital. an unidentified individual  engaged in receiving property taken by war or depredation mentioned in sections 125 and 126. I have material evidence and transaction records as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Receiving property taken by war or depredation mentioned in sections 125 And 126 (variation 4),7 Years + Fine + forfeiture of property,Cognizable,Non-Bailable,Court of Session
Section 128-40,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding public servant voluntarily allowing prisoner of state or war in his custody to escape. Respected Sir/Madam, I, Sara Singh, wish to lodge a formal complaint regarding public servant voluntarily allowing prisoner of state or war in his custody to escape that occurred on 28-01-2025, around 3:45 AM, at the flight in Jaipur. my tenant Vihaan Sharma, speaking in English  committed public servant voluntarily allowing prisoner of state or war in his custody to escape. I have material evidence, digital communications and physical evidence as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Public servant voluntarily allowing prisoner of State or war in his custody to escape (variation 4),Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 129-17,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding public servant negligently suffering prisoner of state or war in his custody to escape. Respected Sir/Madam, I, Pari Singh, wish to lodge a formal complaint regarding public servant negligently suffering prisoner of state or war in his custody to escape that occurred on 27-03-2024, late night, at the laboratory near District Court. an unidentified man, speaking in local dialect  engaged in public servant negligently suffering prisoner of state or war in his custody to escape. I have photographs as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Public servant negligently suffering prisoner of State or war in his custody to escape (variation 5),Simple Imprisonment 3 Years + Fine,Cognizable,Bailable,Magistrate First Class
Section 130-77,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding aiding escape of, rescuing or harbouring, such prisoner, or offering any resistance to the recapture of such prisoner. Respected Sir/Madam, I, Diya Mukherjee, wish to lodge a formal complaint regarding aiding escape of, rescuing or harbouring, such prisoner, or offering any resistance to the recapture of such prisoner that occurred on 16-02-2025, around 11:00 PM, at the bus stop. some unknown miscreants, speaking in Hindi  perpetrated aiding escape of, rescuing or harbouring, such prisoner, or offering any resistance to the recapture of such prisoner. I have eyewitness testimony, recovered stolen items and physical evidence as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.","Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner (variation 7)",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 131-71,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty. Respected Sir/Madam, I, Diya Mishra, wish to lodge a formal complaint regarding abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty that occurred on 21-10-2024, late night, at the shared cab in Vaishali. my colleague Pooja Malhotra, with long hair  carried out abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty. I have CCTV footage and eyewitness testimony as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.","Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty (variation 1)",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 132-47,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding abetment of mutiny, if mutiny is committed in consequence thereof. Respected Sir/Madam, I, Navya Joshi, wish to lodge a formal complaint regarding abetment of mutiny, if mutiny is committed in consequence thereof that occurred on 14-08-2023, at approximately 3:15 PM, at my building in Jaipur. my former sister Pari Gupta, wearing a orange shirt and orange pants  perpetrated abetment of mutiny, if mutiny is committed in consequence thereof. I have video recordings, material evidence and physical evidence as evidence. I request that appropriate legal action be taken against the accused.","Abetment of mutiny, if mutiny is committed in consequence thereof (variation 5)",Death or Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 133-40,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding abetment of an assault by an officer, soldier, sailor or airman on his superior officer, when in the execution of his office. Respected Sir/Madam, I, Amit Verma, wish to lodge a formal complaint regarding abetment of an assault by an officer, soldier, sailor or airman on his superior officer, when in the execution of his office that occurred on 07-10-2023, shortly after 10:45 AM, at the school in Bangalore. my colleague Anika Mehta, speaking in Hindi  struck me with bare hands, resulting in bleeding from my leg. I have CCTV footage and material evidence as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.","Abetment of an assault by An officer, soldier, sailor Or airman on his superior officer, when in the execution of his office (variation 3)",3 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
Section 134-96,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding abetment of such assault, if the assault is committed. Respected Sir/Madam, I, Arjun Bose, wish to lodge a formal complaint regarding abetment of such assault, if the assault is committed that occurred on 06-11-2024, early night, at the highway near University Campus. a person known to me, Rohit Banerjee, driving a purple car  struck me with bare hands, causing me to lose consciousness due to the abrasion. I have CCTV footage as evidence. I urge the authorities to register an FIR and take necessary action.","Abetment of such assault, if the assault is committed (variation 6)",7 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
Section 135-31,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding abetment of the desertion of an officer, soldier, sailor or airman. Respected Sir/Madam, I, Navya Bose, wish to lodge a formal complaint regarding abetment of the desertion of an officer, soldier, sailor or airman that occurred on 20-02-2024, at approximately 11:00 PM, at the public park. my tenant Vikram Mukherjee, wearing a blue shirt and grey pants  committed abetment of the desertion of an officer, soldier, sailor or airman. I have physical evidence as evidence. I urge the authorities to register an FIR and take necessary action.","Abetment of the desertion of an officer, soldier, sailor or airman (variation 7)",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
