FIR_Complaint,IPC_Sections,Category
"While walking home from the grocery store, I was approached by two men on a motorcycle. They threatened me with a knife and snatched my purse and phone.","Section 392, Section 397",Robbery
"A group of men entered my house at night, tied up my family, and stole all our valuables, including cash and jewelry.","Section 395, Section 450",Dacoity
My neighbor constantly harasses my family by playing loud music at night and using abusive language.,"Section 294, Section 506",Harassment
My car was stolen last night from outside my house while I was sleeping.,Section 379,Theft
"While traveling on a bus, a man inappropriately touched me despite my protests.","Section 354, Section 509",Sexual Harassment
"A person is selling illegal drugs near the school, putting students at risk.",Section 27 NDPS Act,Drug Offense
An online seller took advance payment from me for a mobile phone but never delivered the product and is now unreachable.,Section 420,Fraud
"A group of individuals gathered without permission and started shouting slogans, causing public nuisance.","Section 143, Section 268",Unlawful Assembly
"My shop was broken into last night, and all the cash from the register was stolen.","Section 457, Section 380",Burglary
"Someone spread false and defamatory information about me on social media, harming my reputation.","Section 499, Section 500",Defamation
A person forged my property documents and illegally sold my land.,"Section 465, Section 467",Forgery
"A vendor is selling expired food products, risking public health.","Section 272, Section 273",Food Adulteration
I was forced to marry against my will by my family.,Section 366,Forced Marriage
My business partner withdrew a large sum of money from our joint account and disappeared.,"Section 406, Section 420",Criminal Breach of Trust
A group of men in a car chased me and tried to abduct me on my way home from work.,"Section 363, Section 366",Kidnapping
A person threw acid on my sister over a personal dispute.,Section 326A,Acid Attack
A drunk driver crashed into my parked car and fled the scene.,"Section 279, Section 427",Hit and Run
A husband tortured his wife for dowry and assaulted her repeatedly.,Section 498A,Domestic Violence
My bike was stolen from the parking lot of my office.,Section 379,Vehicle Theft
"A man intentionally spread rumors about a religious community, inciting violence.","Section 153A, Section 505",Hate Speech
A cybercriminal hacked my email and used my identity for fraudulent activities.,Section 66C IT Act,Cyber Crime
A fake insurance agent scammed my parents by selling them a non-existent policy.,Section 420,Fraud
A government official demanded a bribe to process my application.,Section 7 PC Act,Bribery
A gang of men attacked a rival group with deadly weapons in our locality.,"Section 307, Section 148",Attempt to Murder
"While walking home from the grocery store, I was approached by two men on a motorcycle. They threatened me with a knife and snatched my purse and phone.","['Section 392', 'Section 397']",Robbery
"My house was broken into last night. The intruders stole cash, jewelry, and electronic items.","['Section 457', 'Section 380']",Burglary
"A man has been sending me obscene messages and making inappropriate calls, causing me distress.","['Section 354A', 'Section 509']",Harassment
