URL,Description,Offense,Punishment,Cognizable,Bailable,Court,Section_Number,Cleaned_Description,Processed_Description,Processed_Offense,FIR_Complaint
https://lawrato.com/indian-kanoon/ipc/section-140,"Description of IPC Section 140
According to section 140 of Indian penal code, Whoever, not being a soldier, sailor or airman in the Military, Naval or Air service of the Government of India, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


IPC 140 in Simple Words
If someone who is not a military member wears a uniform or carries something resembling a military uniform to deceive others into believing they are a soldier, sailor, or airman, they can be punished with up to three months in jail, a fine of up to five hundred rupees, or both.","Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",3 Months or Fine or Both,Cognizable,Bailable,Any Magistrate,Section 140,"Description of IPC Section 140 According to section 140 of Indian penal code, Whoever, not being a soldier, sailor or airman in the Military, Naval or Air service of the Government of India, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both. IPC 140 in Simple Words If someone who is not a military member wears a uniform or carries something resembling a military uniform to deceive others into believing they are a soldier, sailor, or airman, they can be punished with up to three months in jail, a fine of up to five hundred rupees, or both.",description ipc section 140 according section 140 indian penal code whoever not soldier sailor airman military naval air service government india wear garb carry token resembling garb token used soldier sailor airman with intention may believed soldier sailor airman shall punished with imprisonment either description term may extend three month with fine may extend five hundred rupee with ipc 140 simple word someone not military member wear uniform carry something resembling military uniform deceive others believing soldier sailor airman punished with three month jail fine five hundred rupee,wearing dress carrying token used soldier sailor airman with intent may believed soldier sailor airman,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman. Respected Sir/Madam, I, Arjun Roy, wish to lodge a formal complaint regarding wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman that occurred on 16-02-2025, around 6:45 AM, at the exhibition ground in Lucknow. an unknown assailant  engaged in wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman. I have call records as evidence. I request a thorough investigation into this matter and appropriate legal proceedings."
https://lawrato.com/indian-kanoon/ipc/section-127,"Description of IPC Section 127
According to section 127 of Indian penal code, Whoever receives any property knowing the same to have been taken in the commission of any of the offences mentioned in sections 125 and 126, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of the property so received.


IPC 127 in Simple Words
If someone receives property knowing it was taken during the commission of certain offenses (mentioned in sections 125 and 126), they can be punished with imprisonment of up to seven years, fined, and the property can be forfeited.",Receiving property taken by war or depredation mentioned in sections 125 And 126,7 Years + Fine + forfeiture of property,Cognizable,Non-Bailable,Court of Session,Section 127,"Description of IPC Section 127 According to section 127 of Indian penal code, Whoever receives any property knowing the same to have been taken in the commission of any of the offences mentioned in sections 125 and 126, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of the property so received. IPC 127 in Simple Words If someone receives property knowing it was taken during the commission of certain offenses (mentioned in sections 125 and 126), they can be punished with imprisonment of up to seven years, fined, and the property can be forfeited.",description ipc section 127 according section 127 indian penal code whoever receives property knowing taken commission offence mentioned section 125 126 shall punished with imprisonment either description term may extend seven year shall also liable fine forfeiture property received ipc 127 simple word someone receives property knowing taken commission certain offense mentioned section 125 126 punished with imprisonment seven year fined property forfeited,receiving property taken war depredation mentioned section 125 126,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding receiving property taken by war or depredation mentioned in sections 125 and 126. Respected Sir/Madam, I, Reyansh Desai, wish to lodge a formal complaint regarding receiving property taken by war or depredation mentioned in sections 125 and 126 that occurred on 12-03-2024, around 5:45 AM, at the shopping mall. an unidentified man, of approximately short height and slim build  committed receiving property taken by war or depredation mentioned in sections 125 and 126. I have eyewitness testimony and documentary proof as evidence. I request a thorough investigation into this matter and appropriate legal proceedings."
https://lawrato.com/indian-kanoon/ipc/section-128,"Description of IPC Section 128
According to section 128 of Indian penal code, Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such prisoner to escape from any place in which such prisoner is confined, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 128 in Simple Words
If a public servant, responsible for the custody of a State prisoner or prisoner of war, intentionally allows the prisoner to escape from confinement, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.",Public servant voluntarily allowing prisoner of State or war in his custody to escape,Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session,Section 128,"Description of IPC Section 128 According to section 128 of Indian penal code, Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such prisoner to escape from any place in which such prisoner is confined, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. IPC 128 in Simple Words If a public servant, responsible for the custody of a State prisoner or prisoner of war, intentionally allows the prisoner to escape from confinement, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.",description ipc section 128 according section 128 indian penal code whoever public servant custody state prisoner prisoner war voluntarily allows prisoner escape place prisoner confined shall punished with imprisonment life imprisonment either description term may extend ten year shall also liable fine ipc 128 simple word public servant responsible custody state prisoner prisoner war intentionally allows prisoner escape confinement punished with life imprisonment imprisonment ten year may also fined,public servant voluntarily allowing prisoner state war custody escape,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding public servant voluntarily allowing prisoner of state or war in his custody to escape. Respected Sir/Madam, I, Geeta Singh, wish to lodge a formal complaint regarding public servant voluntarily allowing prisoner of state or war in his custody to escape that occurred on 21-06-2023, shortly after 11:30 AM, at the metro in Jubilee Hills. my neighbor Ayush Das, aged around 50-55 years  engaged in public servant voluntarily allowing prisoner of state or war in his custody to escape. I have eyewitness testimony as evidence. I request a thorough investigation into this matter and appropriate legal proceedings."
https://lawrato.com/indian-kanoon/ipc/section-129,"Description of IPC Section 129
According to section 129 of Indian penal code, Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, negligently suffers such prisoner to escape from any place of confinement in which such prisoner is confined, shall be punished with simple imprisonment for a term which may extend to three years, and shall also be liable to fine.


IPC 129 in Simple Words
If a public servant, responsible for the custody of a State prisoner or prisoner of war, carelessly allows the prisoner to escape from confinement, they can be punished with up to three years in jail and may also be fined.",Public servant negligently suffering prisoner of State or war in his custody to escape,Simple Imprisonment 3 Years + Fine,Cognizable,Bailable,Magistrate First Class,Section 129,"Description of IPC Section 129 According to section 129 of Indian penal code, Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, negligently suffers such prisoner to escape from any place of confinement in which such prisoner is confined, shall be punished with simple imprisonment for a term which may extend to three years, and shall also be liable to fine. IPC 129 in Simple Words If a public servant, responsible for the custody of a State prisoner or prisoner of war, carelessly allows the prisoner to escape from confinement, they can be punished with up to three years in jail and may also be fined.",description ipc section 129 according section 129 indian penal code whoever public servant custody state prisoner prisoner war negligently suffers prisoner escape place confinement prisoner confined shall punished with simple imprisonment term may extend three year shall also liable fine ipc 129 simple word public servant responsible custody state prisoner prisoner war carelessly allows prisoner escape confinement punished with three year jail may also fined,public servant negligently suffering prisoner state war custody escape,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding public servant negligently suffering prisoner of state or war in his custody to escape. Respected Sir/Madam, I, Vihaan Yadav, wish to lodge a formal complaint regarding public servant negligently suffering prisoner of state or war in his custody to escape that occurred on 11-03-2024, early morning, at the exhibition ground in Malad. my business associate Anjali Patel, speaking in regional language  committed public servant negligently suffering prisoner of state or war in his custody to escape. I have medical reports and digital communications as evidence. I request that appropriate legal action be taken against the accused."
https://lawrato.com/indian-kanoon/ipc/section-130,"Description of IPC Section 130
According to section 130 of Indian penal code, Whoever knowingly aids or assists any State prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, or offers or attempts to offer any resistance to the recapture of such prisoner shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 130 in Simple Words
If someone knowingly helps a State prisoner or prisoner of war escape from lawful custody, rescues them, hides them after their escape, or resists their recapture, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session,Section 130,"Description of IPC Section 130 According to section 130 of Indian penal code, Whoever knowingly aids or assists any State prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, or offers or attempts to offer any resistance to the recapture of such prisoner shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. IPC 130 in Simple Words If someone knowingly helps a State prisoner or prisoner of war escape from lawful custody, rescues them, hides them after their escape, or resists their recapture, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.",description ipc section 130 according section 130 indian penal code whoever knowingly aid assist state prisoner prisoner war escaping lawful custody rescue attempt rescue prisoner harbour conceals prisoner escaped lawful custody offer attempt offer resistance recapture prisoner shall punished with imprisonment life with imprisonment either description term may extend ten year shall also liable fine ipc 130 simple word someone knowingly help state prisoner prisoner war escape lawful custody rescue hide escape resists recapture punished with life imprisonment imprisonment ten year may also fined,aiding escape rescuing harbouring prisoner offering resistance recapture prisoner,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding aiding escape of, rescuing or harbouring, such prisoner, or offering any resistance to the recapture of such prisoner. Respected Sir/Madam, I, Vivaan Desai, wish to lodge a formal complaint regarding aiding escape of, rescuing or harbouring, such prisoner, or offering any resistance to the recapture of such prisoner that occurred on 13-08-2024, late afternoon, at the educational institution. an unidentified individual, aged around 40-45 years  committed aiding escape of, rescuing or harbouring, such prisoner, or offering any resistance to the recapture of such prisoner. I have eyewitness testimony and material evidence as evidence. I urge the authorities to register an FIR and take necessary action."
https://lawrato.com/indian-kanoon/ipc/section-131,"Description of IPC Section 131
According to section 131 of Indian penal code, Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 131 in Simple Words
If someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian Army, Navy, or Air Force or tries to lead them astray from their loyalty or duty, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session,Section 131,"Description of IPC Section 131 According to section 131 of Indian penal code, Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. IPC 131 in Simple Words If someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian Army, Navy, or Air Force or tries to lead them astray from their loyalty or duty, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.",description ipc section 131 according section 131 indian penal code whoever abets committing mutiny officer soldier sailor airman army navy air force government india attempt seduce officer soldier sailor airman allegiance duty shall punished with imprisonment life with imprisonment either description term may extend ten year shall also liable fine ipc 131 simple word someone encourages commission mutiny officer soldier sailor airman indian army navy air force try lead astray loyalty duty punished with life imprisonment imprisonment ten year may also fined,abetting mutiny attempting seduce officer soldier sailor airman allegiance duty,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty. Respected Sir/Madam, I, Vivaan Jain, wish to lodge a formal complaint regarding abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty that occurred on 22-03-2024, early morning, at the factory in Vasant Kunj. a group of unknown individuals, aged around 30-35 years  carried out abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty. I have CCTV footage and recovered stolen items as evidence. I urge the authorities to register an FIR and take necessary action."
https://lawrato.com/indian-kanoon/ipc/section-132,"Description of IPC Section 132
According to section 132 of Indian penal code, Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall, if mutiny be committed in consequence of that abetment, be punished with death or with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 132 in Simple Words
If someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian Army, Navy, or Air Force, and mutiny occurs as a result, the abettor can be punished with death, life imprisonment, or imprisonment for up to ten years, and may also be fined.","Abetment of mutiny, if mutiny is committed in consequence thereof",Death or Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session,Section 132,"Description of IPC Section 132 According to section 132 of Indian penal code, Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall, if mutiny be committed in consequence of that abetment, be punished with death or with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. IPC 132 in Simple Words If someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian Army, Navy, or Air Force, and mutiny occurs as a result, the abettor can be punished with death, life imprisonment, or imprisonment for up to ten years, and may also be fined.",description ipc section 132 according section 132 indian penal code whoever abets committing mutiny officer soldier sailor airman army navy air force government india shall mutiny committed consequence abetment punished with death with imprisonment life imprisonment either description term may extend ten year shall also liable fine ipc 132 simple word someone encourages commission mutiny officer soldier sailor airman indian army navy air force mutiny occurs result abettor punished with death life imprisonment imprisonment ten year may also fined,abetment mutiny mutiny committed consequence thereof,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding abetment of mutiny, if mutiny is committed in consequence thereof. Respected Sir/Madam, I, Ananya Das, wish to lodge a formal complaint regarding abetment of mutiny, if mutiny is committed in consequence thereof that occurred on 29-10-2023, at approximately 3:30 PM, at the cinema hall in Alipore. my neighbor Sara Das, wearing a grey shirt and blue pants  engaged in abetment of mutiny, if mutiny is committed in consequence thereof. I have digital communications, documentary proof and transaction records as evidence. I urge the authorities to register an FIR and take necessary action."
https://lawrato.com/indian-kanoon/ipc/section-133,"Description of IPC Section 133
According to section 133 of Indian penal code, Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 133 in Simple Words
If someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, the abettor can be punished with up to three years in jail and a fine.","Abetment of an assault by An officer, soldier, sailor Or airman on his superior officer, when in the execution of his office",3 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class,Section 133,"Description of IPC Section 133 According to section 133 of Indian penal code, Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine. IPC 133 in Simple Words If someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, the abettor can be punished with up to three years in jail and a fine.",description ipc section 133 according section 133 indian penal code whoever abets assault officer soldier sailor airman army navy air force government india superior officer execution office shall punished with imprisonment either description term may extend three year shall also liable fine ipc 133 simple word someone encourages officer soldier sailor airman assault superior officer superior officer performing duty abettor punished with three year jail fine,abetment assault officer soldier sailor airman superior officer execution office,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding abetment of an assault by an officer, soldier, sailor or airman on his superior officer, when in the execution of his office. Respected Sir/Madam, I, Anika Chopra, wish to lodge a formal complaint regarding abetment of an assault by an officer, soldier, sailor or airman on his superior officer, when in the execution of his office that occurred on 18-04-2024, around 9:30 PM, at the university grounds in Malviya Nagar. some unknown miscreants  struck me with a blunt object, causing me to lose consciousness due to the laceration. I have CCTV footage as evidence. I urge the authorities to register an FIR and take necessary action."
https://lawrato.com/indian-kanoon/ipc/section-134,"Description of IPC Section 134
According to section 134 of Indian penal code, Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall, if such assault be committed in consequence of that abetment be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 134 in Simple Words
If someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, and the assault occurs as a result, the abettor can be punished with up to seven years in jail and a fine.","Abetment of such assault, if the assault is committed",7 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class,Section 134,"Description of IPC Section 134 According to section 134 of Indian penal code, Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall, if such assault be committed in consequence of that abetment be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. IPC 134 in Simple Words If someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, and the assault occurs as a result, the abettor can be punished with up to seven years in jail and a fine.",description ipc section 134 according section 134 indian penal code whoever abets assault officer soldier sailor airman army navy air force government india superior officer execution office shall assault committed consequence abetment punished with imprisonment either description term may extend seven year shall also liable fine ipc 134 simple word someone encourages officer soldier sailor airman assault superior officer superior officer performing duty assault occurs result abettor punished with seven year jail fine,abetment assault assault committed,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding abetment of such assault, if the assault is committed. Respected Sir/Madam, I, Aanya Gupta, wish to lodge a formal complaint regarding abetment of such assault, if the assault is committed that occurred on 26-10-2024, late night, at the shop near General Hospital. my colleague Neha Mishra  beat me with a rod, causing me to lose consciousness due to the cut. I have eyewitness testimony as evidence. I urge the authorities to register an FIR and take necessary action."
https://lawrato.com/indian-kanoon/ipc/section-135,"Description of IPC Section 135
According to section 135 of Indian penal code, Whoever, abets the desertion of any officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 135 in Simple Words
If someone encourages or supports the desertion of an officer, soldier, sailor, or airman from the Indian Army, Navy, or Air Force, they can be punished with up to two years in jail, a fine, or both.

Cited by
Rafiq Ahmedbhai Paliwala vs The State Of Gujarat
Kartar Singh vs State Of Punjab","Abetment of the desertion of an officer, soldier, sailor or airman",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate,Section 135,"Description of IPC Section 135 According to section 135 of Indian penal code, Whoever, abets the desertion of any officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. IPC 135 in Simple Words If someone encourages or supports the desertion of an officer, soldier, sailor, or airman from the Indian Army, Navy, or Air Force, they can be punished with up to two years in jail, a fine, or both. Cited by Rafiq Ahmedbhai Paliwala vs The State Of Gujarat Kartar Singh vs State Of Punjab",description ipc section 135 according section 135 indian penal code whoever abets desertion officer soldier sailor airman army navy air force government india shall punished with imprisonment either description term may extend two year with fine with ipc 135 simple word someone encourages support desertion officer soldier sailor airman indian army navy air force punished with two year jail fine cited rafiq ahmedbhai paliwala v state gujarat kartar singh v state punjab,abetment desertion officer soldier sailor airman,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding abetment of the desertion of an officer, soldier, sailor or airman. Respected Sir/Madam, I, Vivaan Nair, wish to lodge a formal complaint regarding abetment of the desertion of an officer, soldier, sailor or airman that occurred on 05-06-2024, between 7:30 and 10:30 PM, at the restaurant. my in-law named Sanjay Pillai, of approximately tall height and muscular build  perpetrated abetment of the desertion of an officer, soldier, sailor or airman. I have expert testimony as evidence. I seek justice and request that the accused be brought to book under relevant sections of law."
