FIR_Complaint,Sections
"I would like to report that fraudulently destroying or defacing, or attempting to destroy or deface, or secreting, a will, etc.. The incident happened at bus. This occurred around early morning. The accused is known to me. I have evidence in the form of physical evidence.","['Section 454', 'Section 227']"
I wish to file an FIR as agent of owner or occupier for whose benefit a riot is committed not using all lawful means to prevent it has taken place. The incident happened at road. This occurred around early morning. The accused is my neighbor. I have evidence in the form of medical reports.,"['Section 180', 'Section 164']"
"I would like to report that navigating any vessel so rashly or negligently as to endanger human life, etc.. The incident happened at road. This occurred around morning. The accused is unknown. I have evidence in the form of video recording.","['Section 136', 'Section 189']"
I would like to report that using as true any such declaration known to be false. The incident happened at train. This occurred around evening. The accused is a relative. I have evidence in the form of documents.,"['Section 151', 'Section 462']"
"This is to report that on 19-01-2024, wantonly giving provocation with intent to cause riot, if rioting be committed occurred. The incident happened at home. This occurred around night. The accused is unknown. I have evidence in the form of photographs.","['Section 374', 'Section 310']"
I am filing this complaint regarding an incident where being one of five or more persons assembled for the purpose of committing dacoity. The incident happened at home. This occurred around early morning. The accused is known to me. I have evidence in the form of medical reports.,"['Section 206', 'Section 295']"
I would like to report that the incident described. The incident happened at train. This occurred around morning. The accused is a relative. I have evidence in the form of medical reports.,"['Section 137', 'Section 338']"
I am filing this complaint regarding an incident where wrongfully confining any person. The incident happened at road. This occurred around early morning. The accused is known to me. I have evidence in the form of video recording.,"['Section 482', 'Section 351']"
"On 09-08-2024, I witnessed/experienced resistance to the taking of property by the lawful authority of a public servant. The incident happened at train. This occurred around early morning. The accused is known to me. I have evidence in the form of medical reports.","['Section 174', 'Section 316']"
I am filing this complaint regarding an incident where the incident described. The incident happened at bus. This occurred around afternoon. The accused is a relative. I have evidence in the form of video recording.,"['Section 209', 'Section 354']"
"On 23-05-2023, I witnessed/experienced undue influence at an election. The incident happened at market. This occurred around morning. The accused is a colleague. I have evidence in the form of documents.","['Section 326', 'Section 355']"
I am filing this complaint regarding an incident where the incident described. The incident happened at restaurant. This occurred around afternoon. The accused is known to me. I have evidence in the form of medical reports.,"['Section 447', 'Section 288']"
I would like to report that the incident described. The incident happened at road. This occurred around evening. The accused is a stranger. I have evidence in the form of video recording.,"['Section 221', 'Section 192']"
"This is to report that on 05-09-2024, dacoity occurred. The incident happened at bus. This occurred around morning. The accused is unknown. I have evidence in the form of physical evidence.","['Section 394', 'Section 276']"
"On 01-02-2024, I witnessed/experienced fraudulent use of false weight or measure. The incident happened at road. This occurred around night. The accused is a colleague. I have evidence in the form of photographs.","['Section 351', 'Section 145']"
I am filing this complaint regarding an incident where public servant unlawfully engaging in trade. The incident happened at home. This occurred around morning. The accused is a stranger. I have evidence in the form of witnesses.,"['Section 509', 'Section 361']"
"This is to report that on 20-10-2023, possession of instrument or material for the purpose of using the same for counterfeiting coin occurred. The incident happened at home. This occurred around night. The accused is unknown. I have evidence in the form of documents.","['Section 282', 'Section 237']"
"This is to report that on 22-06-2023, dealing with any poisonous substance so as to endanger human life, etc. occurred. The incident happened at home. This occurred around night. The accused is a relative. I have evidence in the form of documents.","['Section 465', 'Section 295']"
"I wish to file an FIR as house-trespass, having made preparation for causing hurt, assault, etc. has taken place. The incident happened at bus. This occurred around night. The accused is a stranger. I have evidence in the form of physical evidence.","['Section 393', 'Section 158']"
"I wish to file an FIR as lurking house-trespass or house-breaking after preparation made for causing hurt, assault, etc. has taken place. The incident happened at workplace. This occurred around early morning. The accused is unknown. I have evidence in the form of medical reports.","['Section 480', 'Section 500']"
I wish to file an FIR as delivery to another of coin possessed with the knowledge that it is altered has taken place. The incident happened at workplace. This occurred around night. The accused is unknown. I have evidence in the form of physical evidence.,"['Section 510', 'Section 386']"
"On 14-05-2023, I witnessed/experienced committing a public nuisance. The incident happened at road. This occurred around morning. The accused is my neighbor. I have evidence in the form of photographs.","['Section 437', 'Section 234']"
"On 16-06-2024, I witnessed/experienced sexual intercourse by husband upon his wife during separation. The incident happened at restaurant. This occurred around evening. The accused is unknown. I have evidence in the form of photographs.","['Section 428', 'Section 208']"
"This is to report that on 07-03-2025, counterfeiting a government stamp occurred. The incident happened at bus. This occurred around morning. The accused is my neighbor. I have evidence in the form of witnesses.","['Section 167', 'Section 149']"
I am filing this complaint regarding an incident where unlawful compulsory labour. The incident happened at restaurant. This occurred around early morning. The accused is my neighbor. I have evidence in the form of video recording.,"['Section 240', 'Section 505']"
I am filing this complaint regarding an incident where secreting or destroying any document to prevent its production as evidence. The incident happened at restaurant. This occurred around evening. The accused is a colleague. I have evidence in the form of witnesses.,"['Section 206', 'Section 152']"
"On 10-04-2024, I witnessed/experienced knowingly stating to a public servant, on oath as true that which is false. The incident happened at restaurant. This occurred around early morning. The accused is a relative. I have evidence in the form of witnesses.","['Section 388', 'Section 244']"
I am filing this complaint regarding an incident where extortion. The incident happened at public place. This occurred around night. The accused is known to me. I have evidence in the form of documents.,"['Section 171', 'Section 183']"
"This is to report that on 14-10-2023, mischief by causing diminution of supply of water for agricultural purposes, etc. occurred. The incident happened at bus. This occurred around evening. The accused is known to me. I have evidence in the form of medical reports.","['Section 282', 'Section 433']"
I would like to report that receiving property taken by war or depredation mentioned in sections 125 and 126. The incident happened at market. This occurred around night. The accused is unknown. I have evidence in the form of medical reports.,"['Section 153', 'Section 300']"
"I would like to report that putting or attempting to put in fear of injury, in order to commit extortion. The incident happened at bus. This occurred around morning. The accused is a stranger. I have evidence in the form of video recording.","['Section 218', 'Section 244']"
"This is to report that on 01-12-2023, the incident described occurred. The incident happened at road. This occurred around afternoon. The accused is a colleague. I have evidence in the form of documents.","['Section 374', 'Section 193']"
I am filing this complaint regarding an incident where causing death by rash or negligent act. The incident happened at bus. This occurred around evening. The accused is unknown. I have evidence in the form of physical evidence.,"['Section 473', 'Section 137']"
"On 24-03-2023, I witnessed/experienced conveying for hire any person by water, in a vessel in such a state, or so loaded, as to endanger his life. The incident happened at workplace. This occurred around evening. The accused is a relative. I have evidence in the form of video recording.","['Section 442', 'Section 420']"
"On 16-05-2023, I witnessed/experienced grievous hurt caused whilst committing lurking house-trespass or house-breaking. The incident happened at train. This occurred around morning. The accused is a colleague. I have evidence in the form of documents.","['Section 218', 'Section 193']"
I would like to report that stalking. The incident happened at workplace. This occurred around evening. The accused is a relative. I have evidence in the form of medical reports.,"['Section 397', 'Section 166']"
I would like to report that forgery for the purpose of cheating. The incident happened at home. This occurred around evening. The accused is a relative. I have evidence in the form of medical reports.,"['Section 177', 'Section 469']"
"This is to report that on 10-08-2023, gang rape occurred. The incident happened at market. This occurred around evening. The accused is a relative. I have evidence in the form of witnesses.","['Section 188', 'Section 336']"
"On 05-01-2025, I witnessed/experienced robbery. The incident happened at road. This occurred around night. The accused is a colleague. I have evidence in the form of documents.","['Section 273', 'Section 352']"
"On 09-11-2023, I witnessed/experienced person committing an offence of rape and inflicting injury which causes death or causes the woman to be in a persistent vegetative state. The incident happened at market. This occurred around early morning. The accused is known to me. I have evidence in the form of photographs.","['Section 402', 'Section 320']"
"This is to report that on 18-02-2025, habitual dealing in slaves occurred. The incident happened at market. This occurred around afternoon. The accused is known to me. I have evidence in the form of witnesses.","['Section 316', 'Section 492']"
I would like to report that forgery. The incident happened at workplace. This occurred around early morning. The accused is unknown. I have evidence in the form of witnesses.,"['Section 348', 'Section 315']"
"I wish to file an FIR as abetment of such assault, if the assault is committed has taken place. The incident happened at road. This occurred around evening. The accused is a stranger. I have evidence in the form of physical evidence.","['Section 407', 'Section 379']"
"This is to report that on 12-11-2024, making or counterfeiting a seal, plate, etc., with intent to commit a forgery punishable under section 467 of the indian penal code, or possessing with like intent any such seal, plate, etc. knowing the same to be counterfeit occurred. The incident happened at workplace. This occurred around early morning. The accused is my neighbor. I have evidence in the form of physical evidence.","['Section 468', 'Section 173']"
"On 28-06-2024, I witnessed/experienced the incident described. The incident happened at train. This occurred around morning. The accused is a relative. I have evidence in the form of documents.","['Section 366', 'Section 344']"
